181
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|370|C|1|0|2|681|3|8|1|Estrato 1|0||23|139|56|2|8|16|1|4|100|3|0|1|0|0|0|0|1|0|2|0|1|1|0|8|360|143|69|123|17|2018|7|1|19|3|32|1|N
1|1|399|C|1|0|3|501|5|7|1|Estrato 1|0||104|73|84|3|4|10|4|2|51|5|0|1|0|0|1|1|0|0|1|0|0|0|0|7|264|81|92|67|17|2018|7|1|19|10|12|1|N
1|1|450|C|1|0|2|600|7|1|1|Estrato 1|0||60|74|62|3|3|33|8|2|90|11|1|0|1|1|0|0|0|0|3|1|0|0|0|13|326|88|67|138|20|2018|7|1|19|8|58|1|N
1|1|484|C|1|0|3|431|11|2|1|Estrato 1|0||86|68|52|3|0|12|3|5|86|3|1|1|0|0|2|0|0|0|4|0|1|0|0|6|260|76|59|106|13|2018|7|1|19|12|58|1|N
5|1|3|C|3|0|1|619|2|1|16|Estrato 16|0||1|47|92|4|3|20|15|4|133|9|0|0|0|0|2|0|2|0|3|1|0|1|2|3|365|66|103|167|24|2018|7|1|19|20|47|1|N
5|1|1683|B|1|0|2|453|2|1|16|Estrato 16|0||6|33|44|7|6|14|13|0|116|6|0|0|2|0|0|1|0|0|1|0|0|0|2|9|260|55|51|137|6|2018|7|1|19|13|40|1|N
5|2|475|B|1|0|1|729|20|3|17|Estrato 17|0||48|57|113|5|2|39|14|2|202|13|0|0|0|0|1|2|0|0|1|5|1|2|1|12|478|76|120|263|6|2018|7|1|19|2|7|1|N
5|2|502|C|1|0|1|414|21|4|17|Estrato 17|0||60|30|72|1|0|13|3|0|153|2|0|0|0|0|4|1|0|0|0|0|0|0|0|4|299|34|77|168|16|2018|7|1|19|23|2|1|N
5|3|50|B|1|0|1|592|3|5|18|Estrato 18|0||9|75|70|0|1|29|12|3|122|4|0|0|0|0|2|2|0|0|3|3|1|0|1|12|358|87|78|162|18|2018|7|1|19|7|40|1|N
5|3|128|B|1|0|2|189|8|5|18|Estrato 18|0||40|18|55|23|0|4|1|1|49|1|1|0|0|0|0|0|0|0|1|0|0|0|0|1|158|43|56|55|3|2018|7|1|18|49|19|1|N
5|3|427|B|1|0|1|512|18|6|18|Estrato 18|0||96|53|57|5|3|18|2|0|140|3|0|1|0|0|3|0|0|0|6|0|0|0|0|3|313|61|63|167|19|2018|7|1|19|22|53|1|N
5|3|432|C|1|0|1|595|18|6|18|Estrato 18|0||100|46|59|2|3|30|0|0|160|6|2|0|1|0|0|1|0|0|0|0|0|0|1|8|332|51|63|196|13|2018|7|1|18|53|54|1|N
5|3|436|C|3|0|1|685|18|6|18|Estrato 18|0||102|78|69|2|2|32|0|1|224|2|0|0|0|0|0|0|0|0|7|1|0|1|0|7|450|80|72|267|24|2018|7|1|18|39|35|1|N
5|3|440|B|1|0|1|402|18|5|18|Estrato 18|0||106|34|78|3|1|9|1|0|106|2|0|0|1|0|1|1|0|0|1|1|0|0|0|8|265|39|81|119|18|2018|7|1|19|17|22|1|N
5|4|871|B|1|0|1|520|30|15|19|Estrato 19|0||62|120|62|1|2|8|1|1|127|5|2|1|1|0|1|4|0|0|5|0|0|2|0|4|380|126|70|147|33|2018|7|1|19|10|38|1|N
5|5|1447|B|1|0|1|572|35|10|20|Estrato 20|0||103|46|80|3|1|16|1|2|132|4|1|0|0|0|1|2|0|0|3|0|0|2|0|10|327|51|86|157|23|2018|7|1|18|56|17|1|N
5|6|272|B|1|0|1|595|17|7|21|Estrato 21|0||100|21|93|1|6|8|3|0|234|6|0|0|0|0|4|1|0|0|0|0|0|2|0|6|390|25|104|250|5|2018|7|1|19|3|52|1|N
5|7|553|B|1|0|1|490|24|12|22|Estrato 22|0||120|46|39|2|26|15|5|2|97|4|4|1|0|0|2|2|1|0|8|2|1|2|0|2|276|58|72|129|15|2018|7|1|19|7|49|1|N
5|7|859|B|1|0|1|690|30|13|22|Estrato 22|0||62|153|98|0|4|9|4|3|135|5|8|0|2|0|3|1|0|0|7|0|0|2|1|11|479|167|109|158|33|2018|7|1|19|16|33|1|N
5|7|969|C|3|0|1|610|30|16|22|Estrato 22|0||16|43|106|2|4|14|2|1|105|4|0|0|0|0|2|3|0|0|0|2|0|1|0|6|308|47|116|126|13|2018|7|1|19|18|42|1|N
5|7|972|B|1|0|1|654|30|16|22|Estrato 22|0||79|84|103|3|2|18|3|2|165|5|1|1|0|0|2|0|1|0|5|1|0|1|1|12|443|92|110|195|33|2018|7|1|19|23|9|1|N
6|1|7|C|1|0|1|393|1|2|23|Estrato 23|0||31|35|53|2|2|7|6|0|134|4|1|0|0|0|4|1|0|0|4|2|1|0|0|8|279|44|60|152|15|2018|7|1|19|23|12|1|N
6|1|20|S|1|0|1|0|1|1|23|Estrato 23|0||23|199|82|4|2|29|15|2|312|6|6|0|2|0|0|0|1|0|11|9|1|2|0|8|754|226|87|370|63|2018|7|1|19|11|38|1|N
6|1|77|C|1|0|2|746|1|6|23|Estrato 23|0||3|120|83|5|1|17|8|4|219|10|1|2|2|0|0|0|0|0|4|1|1|0|0|8|509|138|88|252|23|2018|7|1|19|13|3|1|N
6|1|146|B|1|0|2|677|5|5|23|Estrato 23|0||85|50|39|2|1|28|10|4|240|3|3|1|1|0|1|0|0|0|8|0|0|2|1|6|421|67|45|281|21|2018|7|1|19|3|0|1|N
